-0.70336,-1.4482,-0.38576,-0.10281,0.45934,-0.068792,-0.20472,0.073158
-0.6747,-1.4648,-0.35216,-0.21885,0.45255,-0.091757,-0.19388,0.062421
-0.64575,-1.4808,-0.31627,-0.33389,0.44449,-0.11415,-0.18276,0.052724
-0.61651,-1.4963,-0.27816,-0.44776,0.43519,-0.13591,-0.17143,0.04407
-0.58698,-1.5112,-0.23793,-0.56033,0.42471,-0.15698,-0.15997,0.036448
-0.55717,-1.5256,-0.19569,-0.6715,0.41311,-0.17729,-0.14847,0.029848
-0.52708,-1.5394,-0.15156,-0.78119,0.40045,-0.19679,-0.137,0.024255
-0.49671,-1.5527,-0.10566,-0.88932,0.38678,-0.21543,-0.12563,0.019648
-0.46607,-1.5654,-0.058124,-0.99583,0.37216,-0.23316,-0.11444,0.016001
-0.43518,-1.5775,-0.0090913,-1.1007,0.35667,-0.24995,-0.10347,0.013284
-0.40402,-1.589,0.041308,-1.2038,0.34037,-0.26576,-0.09281,0.011468
-0.37262,-1.5999,0.092938,-1.3052,0.32333,-0.28054,-0.082499,0.010514
-0.34097,-1.6102,0.14567,-1.4049,0.30562,-0.29428,-0.072597,0.010386
-0.30908,-1.6198,0.19938,-1.5027,0.2873,-0.30694,-0.063147,0.011044
-0.27697,-1.6289,0.25393,-1.5988,0.26845,-0.31852,-0.054196,0.012445
-0.24464,-1.6373,0.30919,-1.6931,0.24914,-0.32898,-0.045784,0.014544
-0.2121,-1.645,0.36504,-1.7856,0.22943,-0.33832,-0.037947,0.017299
-0.17936,-1.6521,0.42137,-1.8763,0.2094,-0.34653,-0.030712,0.020664
-0.14642,-1.6585,0.47805,-1.9653,0.18911,-0.35361,-0.024113,0.024591
-0.11332,-1.6642,0.53496,-2.0526,0.16864,-0.35955,-0.01817,0.029035
-0.080039,-1.6693,0.59202,-2.1382,0.14805,-0.36436,-0.012906,0.03395
-0.0466,-1.6736,0.6491,-2.2221,0.12741,-0.36805,-0.0083338,0.039287
-0.013022,-1.6773,0.7061,-2.3043,0.10678,-0.37062,-0.0044687,0.045
0.020694,-1.6803,0.76294,-2.385,0.086231,-0.37209,-0.0013252,0.051044
0.054528,-1.6826,0.81952,-2.4642,0.065816,-0.37248,0.0010991,0.057372
